FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,target
240194775.66664293,343037252.80008894,184011892.96664506,130044687.0074856,108946272.82993409,71228351.44397746,60054303.780408084,afuera
269789480.8608662,463727434.36940354,302058987.0209535,166943076.6004351,131296239.60361591,91533759.32186045,64959769.645293936,afuera
210352632.2930784,327350844.85727024,197326495.5652969,145481997.66662046,119671144.11495364,77551868.09850153,63284708.04711134,arriba
255040094.74758166,380009310.8500297,246650757.5686955,150821202.35530236,130925051.05858025,90218543.80952592,72777208.7660825,arriba
254162524.2494885,402968790.2043425,248797629.41400605,154515971.2018429,130501124.2942682,89076026.46963584,71391087.98550448,abajo
223663654.60997424,312056557.39756495,172834619.01053715,122924907.38579458,97603673.23118916,70787086.37221442,61797562.194627255,abajo
103393618.75072813,119522832.3320706,88675910.63928123,75929323.24743299,63459238.66708644,59534604.95395014,57588692.19481842,adentro
114677802.9823404,134537377.20884985,102707213.5146174,84776381.27096301,70352337.6454908,58710223.76175487,54634839.26617536,adentro
297913000.60105157,425894364.4031249,248943494.19865412,149632034.1243801,104184780.23895422,77202004.02629967,62245244.88143228,afuera
327139027.2948681,509391541.70705825,343978810.5139045,219128422.068739,141610255.96434987,94904515.92408627,77875571.73155084,afuera
209297916.26019675,308577251.79907703,191963389.22079986,127135853.19414221,101090641.92419615,74035112.98193294,63260297.20143522,arriba
295111230.2565185,458926003.7993066,322155007.7555977,195628566.33773112,128006105.39353293,95281592.00359958,76711094.90908945,arriba
